Set,Instance,W,H,n,density,|E_d|,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
NGCUT,ngcut11_1,30,30,7,0.1,2,0,0,1439,1358,1358,1114,1114,1114,0.1796759941089838,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
NGCUT,ngcut11_2,30,30,7,0.17,3,0,0,1439,1077,1077,1077,1077,1077,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut11_3,30,30,7,0.25,5,0,0,1439,872,872,872,872,872,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut12_1,30,30,10,0.1,4,0,0,1799,1541,1541,1302,1302,1302,0.15509409474367294,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.006
NGCUT,ngcut12_2,30,30,10,0.17,7,0,0,1799,1531,1531,1272,1272,1272,0.16917047681254083,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
NGCUT,ngcut12_3,30,30,10,0.25,11,0,0,1799,1402,1402,1179,1179,1179,0.15905848787446505,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
OKP,okp1_1,100,100,15,0.1,10,0,0,26749,25008,25008,20518,22048,22048,0.17954254638515674,0.0,0,1,0,1,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.067
OKP,okp1_2,100,100,15,0.17,17,0,0,26749,18099,18099,17763,17763,17763,0.018564561577987734,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.028
OKP,okp1_3,100,100,15,0.25,26,0,0,26749,17771,17771,16422,16422,16422,0.07591019076022734,0.0,0,1,564,564,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.133
OKP,okp2_1,100,100,30,0.1,43,0,0,24800,22296,22296,20892,20892,20892,0.06297093649085038,0.0,0,1,9265,9268,0,0,0.0,0.0,0.001,0.001,0.004,0.0,5.419
OKP,okp2_2,100,100,30,0.17,73,0,0,24800,22410,22410,20484,20484,20484,0.0859437751004016,0.0,0,1,23848,23929,0,0,0.0,0.0,0.0,0.0,0.002,0.0,10.546
OKP,okp2_3,100,100,30,0.25,108,0,0,24800,21652,21652,18641,19545,19545,0.139063365970811,0.0,0,1,28063,28073,0,0,0.0,0.0,0.0,0.001,0.001,0.0,14.222
OKP,okp3_1,100,100,30,0.1,43,0,0,26714,25656,25656,22801,23196,23196,0.11128001247271593,0.0,0,1,1353,1353,0,0,0.0,0.0,0.001,0.001,0.009,0.0,0.69
OKP,okp3_2,100,100,30,0.17,73,0,0,26714,25082,25082,22531,22531,22531,0.10170640299816601,0.0,0,1,3582,3582,0,0,0.0,0.0,0.001,0.0,0.001,0.0,1.646
OKP,okp3_3,100,100,30,0.25,108,0,0,26714,24785,24785,22531,22531,22531,0.09094210207786968,0.0,0,1,2654,2656,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.982
OKP,okp4_1,100,100,33,0.1,52,0,0,28798,28788,28788,25474,25474,25474,0.11511741003195776,0.0,0,1,22484,22494,0,0,0.0,0.0,0.001,0.0,0.003,0.0,11.045
OKP,okp4_2,100,100,33,0.17,89,0,0,28798,27001,27001,24119,24695,24695,0.1067367875263879,0.0,0,1,30748,30752,0,0,0.0,0.0,0.0,0.0,0.002,0.0,11.335
